,CouncilDistrictCode,DataYear,ENERGYSTARScore,Electricity(kBtu),Electricity(kWh),GHGEmissionsIntensity,LargestPropertyUseTypeGFA,Latitude,Longitude,NaturalGas(kBtu),NaturalGas(therms),NumberofBuildings,NumberofFloors,OSEBuildingID,PropertyGFABuilding(s),PropertyGFAParking,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SteamUse(kBtu),TotalGHGEmissions,YearBuilt,ZipCode
3261,3.0,2016.0,,21930618.0,6427496.5,2.99,472384.0,47.61748356,-122.321853,1535341.0,15353.41016,1.0,3.0,49926.0,428347.0,,428347.0,78.40000153,82.5,37022180.0,38977108.0,183.6999969,187.3000031,13556219.0,1280.81,1925.0,98122.0
3262,7.0,2016.0,98.0,2168585.0,635576.0,0.5,104860.0,47.612829999999995,-122.34884,996544.0,9965.439453,1.0,7.0,49928.0,135643.0,,135643.0,30.20000076,30.39999962,3165129.5,3187197.25,74.90000153,75.09999847,,68.04,2014.0,98121.0
3263,4.0,2016.0,35.0,1075019.0,315070.0938,0.23,31928.0,47.6779,-122.26166,,,1.0,2.0,49939.0,31928.0,,31928.0,33.70000076,35.29999924,1075019.375,1128551.375,105.6999969,111.0,,7.49,2013.0,98115.0
3265,7.0,2016.0,,3599281.0,1054888.875,1.6,21600.0,47.60994,-122.34234,1003512.0,10035.12012,1.0,3.0,49943.0,49000.0,,49000.0,136.6999969,139.3000031,4602793.5,4691944.5,366.7999878,372.39999389999997,,78.39,1904.0,98101.0
3266,7.0,2016.0,,2588053.0,758514.8125,2.86,31964.0,47.60947,-122.34107,3238692.0,32386.91992,1.0,5.0,49944.0,66460.0,,66460.0,87.69999695,88.30000305,5826745.0,5871374.0,173.3999939,174.1000061,,190.05,1983.0,98101.0
3267,7.0,2016.0,,1888063.0,553359.6875,0.3,38800.0,47.608979999999995,-122.34213000000001,849471.0,8494.709961,1.0,3.0,49945.0,41395.0,156000.0,197395.0,62.79999924,65.19999695,2737534.5,2842128.0,156.3999939,158.8999939,,58.28,1989.0,98101.0
3268,6.0,2016.0,44.0,7151865.0,2096091.625,2.0,41198.0,47.67034,-122.3873,616192.0,6161.92041,1.0,8.0,49946.0,41198.0,,41198.0,188.6000061,189.0,7768057.5,7785876.5,560.7999877999999,561.2999877999999,,82.58,2010.0,98107.0
3269,6.0,2016.0,97.0,4243497.0,1243697.75,0.53,228426.0,47.66915,-122.37458000000001,2596500.0,25965.00195,1.0,6.0,49947.0,317814.0,,317814.0,29.89999962,30.70000076,6839997.5,7013675.0,70.30000305,71.09999847,,167.48,2013.0,98107.0
3270,2.0,2016.0,,795829.0,233244.0938,0.51,20983.0,47.59523,-122.32333999999999,98912.0,989.1200562000001,1.0,1.0,49958.0,20993.0,,20993.0,44.0,45.79999924,923812.8125,961628.625,125.40000149999999,129.6999969,,10.8,2014.0,98124.0
3271,3.0,2016.0,100.0,5694706.0,1669022.75,0.57,278554.0,47.613279999999996,-122.31878999999999,2249338.0,22493.37695,2.0,7.0,49964.0,241130.0,37424.0,278554.0,22.79999924,22.79999924,6352846.5,6362361.0,72.69999695,72.69999695,,159.16,2014.0,98122.0
